Date,AAPL,MSFT,DB,YHOO,GLD
8/19/2016,108.80139,57.233355,13.55,43.02,127.970001
8/18/2016,108.522821,57.213489,13.97,42.900002,129.110001
8/17/2016,108.662106,57.17376,13.97,42.700001,128.5
8/16/2016,108.821284,57.054563,14.23,42.490002,128.470001
8/15/2016,108.92078,57.372413,14.35,42.669998,127.839996
8/12/2016,107.627417,57.194728,14.25,42.939999,127.400002
8/11/2016,107.378694,57.550098,14.23,41.27,127.669998
8/10/2016,107.448336,57.273701,14.22,39.93,128.559998
8/9/2016,108.254196,57.451386,13.73,39.240002,127.959999
8/8/2016,107.816449,57.313187,13.47,39.240002,127.440002
8/5/2016,106.930996,57.214471,13.15,38.990002,127.550003
8/4/2016,105.329219,56.651803,12.7,38.919998,129.869995
8/3/2016,104.68254,56.237207,12.69,38.389999,129.649994
8/2/2016,103.386256,55.852224,12.58,38.57,130.270004
8/1/2016,104.93982,55.852224,13.07,38.799999,129.220001
7/29/2016,103.119078,55.950937,13.44,38.189999,128.979996
7/28/2016,103.247715,55.486981,13.25,38.52,127.660004
7/27/2016,101.872267,55.467238,13.63,38.66,128.029999
7/26/2016,95.65801,56.029906,14.18,38.759998,126
7/25/2016,96.320994,56.000293,14.4,38.32,125.470001
7/22/2016,97.627183,55.842351,14.35,39.380001,126.349998
7/21/2016,98.389119,55.082255,14.44,38.849998,127.300003
7/20/2016,98.91357,55.190841,14.3,38.900002,125.389999
7/19/2016,98.824515,52.407114,14.01,38.169998,127.209999
7/18/2016,98.784933,53.265922,14.54,37.950001,127.040001
7/15/2016,97.745922,53.009268,14.43,37.720001,126.839996
7/14/2016,97.755819,53.048755,14.54,37.959999,127.330002
7/13/2016,95.855921,52.82171,13.95,37.639999,128.320007
7/12/2016,96.400159,52.525569,14.1,37.889999,127.150002
7/11/2016,95.96477,51.913545,13.3,37.959999,129.289993
7/8/2016,95.667907,51.627275,12.97,37.740002,130.520004
7/7/2016,94.935656,50.71911,12.6,37.52,129.740005
7/6/2016,94.529945,50.71911,12.97,37.509998,130.229996
7/5/2016,93.995597,50.511809,13.4,37.5,129.470001
7/1/2016,94.886177,50.501939,13.91,37.990002,128.410004
6/30/2016,94.599212,50.511809,13.73,37.560001,126.470001
6/29/2016,93.411777,49.889915,14.09,36.860001,125.839996
6/28/2016,92.610251,48.804062,14.17,36.040001,125.32
6/27/2016,91.076482,47.807055,13.87,35.220001,126.68
6/24/2016,92.422245,49.189048,14.72,36.240002,126
6/23/2016,95.093977,51.242292,17.84,37.779999,120.110001
6/22/2016,94.549739,50.334127,16.870001,37.360001,120.900002
6/21/2016,94.905971,50.531552,16.809999,37.400002,120.839996
6/20/2016,94.104446,49.425959,16.299999,37.290001,123.209999
6/17/2016,94.332041,49.485189,15.62,36.939999,123.949997
6/16/2016,96.528803,49.741843,14.9,37.389999,122.379997
6/15/2016,96.123091,49.050846,14.82,37.32,123.68
6/14/2016,96.439741,49.189048,14.73,37.400002,122.769997
6/13/2016,96.320994,49.495059,15.18,36.470001,122.639999
6/10/2016,97.795402,50.817823,15.74,36.830002,121.739998
6/9/2016,98.606817,50.956021,16.709999,37.349998,121.25
6/8/2016,97.904251,51.370621,17.049999,36.970001,120.580002
6/7/2016,97.993305,51.429847,17.27,36.73,118.82
6/6/2016,97.597491,51.459463,17.139999,37.07,118.919998
6/3/2016,96.894924,51.123836,17.059999,36.599998,118.879997
6/2/2016,96.697021,51.80496,17.540001,37.150002,115.669998
6/1/2016,97.429272,52.170199,17.620001,36.650002,115.940002
5/31/2016,98.814618,52.318272,17.799999,37.939999,116.059998
5/27/2016,99.299486,51.647018,18.129999,37.82,115.620003
5/26/2016,99.358863,51.222549,18.049999,36.759998,116.580002
5/25/2016,98.577132,51.44959,17.99,35.59,116.980003
5/24/2016,96.875137,50.926408,17.370001,37.529999,117.300003
5/23/2016,95.420524,49.386473,16.93,36.66,119.370003
5/20/2016,94.223192,49.968884,16.91,36.5,119.709999
5/19/2016,93.213866,49.672744,16.790001,37.02,119.870003
5/18/2016,93.570098,50.156442,16.75,37.240002,120.099998
5/17/2016,92.511299,49.860298,16.16,37.27,122.220001
5/16/2016,92.897216,50.807953,16.370001,37.48,121.800003
5/13/2016,89.57239,50.072743,16.389999,36.48,121.709999
5/12/2016,89.394274,50.49426,16.6,37.029999,121.160004
5/11/2016,91.541563,50.043332,16.700001,37.369999,122.120003
5/10/2016,92.442033,50.013925,17.15,37.439999,120.980003
5/9/2016,91.81863,49.082657,16.719999,37.18,120.650002
5/6/2016,91.749363,49.396347,16.91,37.23,123.18
5/5/2016,92.263917,48.95522,16.67,36.939999,122.07
5/4/2016,92.639944,48.8866,17.200001,36,122.209999
5/3/2016,93.613649,48.798375,17.34,36.009998,122.959999
5/2/2016,92.098992,49.61201,18.48,36.529999,123.239998
4/29/2016,92.197345,48.8866,18.959999,36.599998,123.650002
4/28/2016,93.269411,48.916011,19.459999,36.59,121.290001
4/27/2016,96.210203,49.9355,19.02,36.950001,119.040001
4/26/2016,102.632739,50.425641,18.639999,37.110001,118.699997
4/25/2016,103.350729,51.082431,18.139999,37.23,118.230003
4/22/2016,103.940854,50.758936,18.889999,37.48,117.889999
4/21/2016,104.226082,54.680059,18.67,37.669998,119.419998
4/20/2016,105.366989,54.493807,18.719999,37.84,118.970001
4/19/2016,105.150615,55.278031,17.84,36.330002,119.580002
4/18/2016,105.711235,55.346651,17.690001,36.52,117.739998
4/15/2016,108.042227,54.552626,17.299999,36.509998,117.919998
4/14/2016,110.2552,54.268343,17.280001,37.169998,117.110001
4/13/2016,110.19619,54.258538,17.360001,37.310001,118.769997
4/12/2016,108.622522,53.572345,16,36.66,120.050003
4/11/2016,107.225885,53.239049,15.92,36.48,120.029999
4/8/2016,106.871816,53.346877,15.87,36.07,118.43
4/7/2016,106.753788,53.386089,15.41,36.169998,118.610001
4/6/2016,109.133961,54.033074,16.16,36.66,116.940002
4/5/2016,108.002885,53.484119,15.93,36.41,117.660004
4/4/2016,109.291332,54.336963,16.74,37.02,116.150002
4/1/2016,108.179923,54.474201,17.07,36.48,116.93
3/31/2016,107.19638,54.140906,16.940001,36.810001,117.639999
3/30/2016,107.756999,53.964455,17.120001,36.560001,117.099998
3/29/2016,105.90794,53.631159,17.450001,36.32,118.760002
3/28/2016,103.45892,52.484233,17.610001,35.23,116.599998
3/24/2016,103.931016,53.141019,17.540001,34.860001,116.330002
3/23/2016,104.383445,52.905754,18,34.799999,116.610001
3/22/2016,104.96374,53.00378,18.709999,35.41,119.309998
3/21/2016,104.167072,52.797922,19.07,35.470001,118.959999
3/18/2016,104.176902,52.435219,19.27,35.169998,119.800003
3/17/2016,104.058882,53.582146,19.120001,34.279999,120.129997
3/16/2016,104.226082,53.278258,19.309999,34.009998,120.589996
3/15/2016,102.858958,52.533246,20.15,33.259998,117.959999
3/14/2016,100.832853,52.121526,20.59,33.580002,117.870003
3/11/2016,100.577138,52.023499,20.620001,33.810001,119.410004
3/10/2016,99.505072,51.023613,19.27,32.82,121.5
3/9/2016,99.455899,51.798035,18.98,33.509998,119.580002
3/8/2016,99.367376,50.631503,19,32.93,120.580002
3/7/2016,100.193556,50.023726,19.469999,33.959999,121.139999
3/4/2016,101.314795,51.004007,19.65,33.860001,120.540001
3/3/2016,99.829643,51.317696,19.51,32.880001,120.730003
3/2/2016,99.091985,51.905867,18.719999,32.91,118.68
3/1/2016,98.875604,51.543164,17.91,32.799999,117.769997
2/29/2016,95.098802,49.876686,17.190001,31.790001,118.639999
2/26/2016,95.315183,50.288402,17.32,31.370001,117.110001
2/25/2016,95.16765,51.072626,16.77,31.360001,117.919998
2/24/2016,94.518507,50.34722,16.440001,30.950001,117.610001
2/23/2016,93.131715,50.170769,16.68,30.67,117.220001
2/22/2016,95.28567,51.611783,17.389999,31.17,115.489998
2/19/2016,94.459497,50.798149,16.9,30.040001,117.580002
2/18/2016,94.675878,51.160851,17.09,29.42,118.290001
2/17/2016,96.505269,51.386315,17.93,29.370001,115.480003
2/16/2016,95.049622,50.082544,17.16,29.280001,114.769997
2/12/2016,92.44323,49.151279,17.379999,27.040001,118.360001
2/11/2016,92.158002,48.36291,15.51,26.76,119.059998
2/10/2016,92.718621,48.382377,16.209999,27.1,114.459999
2/9/2016,93.426774,47.963861,15.38,26.82,113.580002
2/8/2016,93.446449,48.09039,15.54,27.049999,113.830002
2/5/2016,92.472736,48.820359,16.889999,27.969999,112.32
2/4/2016,95.010279,50.611218,16.959999,29.15,110.57
2/3/2016,94.252947,50.766944,16.65,27.68,109.25
2/2/2016,92.423652,51.58451,16.940001,29.059999,108.089996
2/1/2016,94.331208,53.24884,17.84,29.57,108.050003
1/29/2016,95.221398,53.618692,17.889999,29.51,106.949997
1/28/2016,92.042134,50.669617,17.76,28.75,106.540001
1/27/2016,91.386718,49.852051,18.42,29.690001,107.690002
1/26/2016,97.813722,50.776676,18.66,29.98,107.290001
1/25/2016,97.275697,50.406827,17.870001,29.780001,106.080002
1/22/2016,99.212599,50.893473,19.059999,29.75,105
1/21/2016,94.20404,49.131812,18.58,29.309999,105.489998
1/20/2016,94.683373,49.433535,19.33,28.780001,105.370003
1/19/2016,94.556205,49.209678,20.42,29.74,103.980003
1/15/2016,95.015969,49.628194,20.959999,29.139999,104.080002
1/14/2016,97.35395,51.691573,22.01,30.32,103.019997
1/13/2016,95.270312,50.260832,22.17,29.440001,104.720001
1/12/2016,97.784376,51.370385,22.93,30.690001,104.209999
1/11/2016,96.3855,50.903205,22.68,30.17,104.739998
1/8/2016,94.849671,50.932406,22.1,30.629999,105.68
1/7/2016,94.350769,50.776676,22.719999,30.16,106.150002
1/6/2016,98.508268,52.606467,23.139999,32.16,104.669998
1/5/2016,100.474523,53.57976,23.48,32.200001,103.18
1/4/2016,103.057063,53.336436,23.49,31.4,102.889999
12/31/2015,102.969025,53.998276,24.15,33.259998,101.459999
12/30/2015,104.984187,54.80611,24.469999,33.369999,101.419998
12/29/2015,106.373279,55.039699,24.870001,34.040001,102.199997
12/28/2015,104.495069,54.455724,24.459999,33.599998,102.269997
12/24/2015,105.678733,54.1832,24.5,34.110001,103.050003
12/23/2015,106.246111,54.329195,24.459999,34.450001,102.309998
12/22/2015,104.896149,53.871747,23.799999,34.189999,102.610001
12/21/2015,104.993971,53.365638,23.65,32.970001,103.150002
